Longitude,latitude,Temperature_17_09,Temperature_18_09,Temperature_19_09,Temperature_20_09,Temperature_22_09,Temperature_23_09,Temperature_24_09,Temperature_25_09,Temperature_26_09,Temperature_27_09,Temperature_28_09,Temperature_28_09,Temperature_28_09,Temperature_29_09,Temperature_30_09,Temperature_01_10,Temperature_02_10,Temperature_03_10,Temperature_04_10,Temperature_05_10,Temperature_06_10,Temperature_07_10,Temperature_08_10,Temperature_09_10,Temperature_10_10,Temperature_11_10,Temperature_12_10,Temperature_12_10,Temperature_13_10,Temperature_14_10,Temperature_15_10
106,83,-12.322835,-12.047244,-8.188976,-16.181103,-12.598425,-15.354331,-19.48819,-12.598425,-7.3622046,-10.6692915,-20.31496,-20.31496,-20.31496,-19.48819,-16.181103,-21.968504,-21.417322,-13.9763775,-18.937008,-19.48819,-20.866142,-23.070866,-17.007874,-14.527559,-20.31496,-19.212599,-21.141733,-15.354331,-15.354331,-19.763779,-22.519686
107,83,-16.732283,-9.84252,-8.188976,-18.937008,-10.944881,-11.496063,-19.48819,-12.874016,-5.4330707,-7.913386,-19.763779,-19.763779,-19.763779,-15.07874,-16.732283,-23.070866,-23.622047,-14.527559,-20.03937,-18.661417,-21.417322,-17.559055,-20.31496,-15.07874,-19.212599,-20.590551,-19.212599,-17.559055,-17.559055,-19.48819,-22.244095
108,83,-11.220472,-10.393701,-10.393701,-14.803149,-13.425197,-9.291339,-18.385826,-11.496063,-7.6377954,-10.393701,-20.03937,-20.03937,-20.03937,-12.874016,-13.700788,-23.897638,-21.968504,-16.456694,-20.590551,-22.519686,-18.661417,-17.834646,-16.456694,-16.181103,-23.622047,-19.48819,-16.456694,-17.559055,-17.559055,-19.212599,-24.17323
109,83,-8.464567,-9.015748,-14.251968,-13.700788,-11.220472,-11.220472,-17.007874,-10.393701,-6.8110237,-9.291339,-20.31496,-20.31496,-20.31496,-14.803149,-17.559055,-24.17323,-19.212599,-23.897638,-23.346457,-22.244095,-21.141733,-13.700788,-16.732283,-14.803149,-18.937008,-18.661417,-14.803149,-17.834646,-17.834646,-18.937008,-21.968504
110,83,-9.015748,-7.3622046,-15.905512,-15.354331,-8.188976,-12.598425,-19.212599,-12.322835,-6.8110237,-9.291339,-18.937008,-18.937008,-18.937008,-16.181103,-18.661417,-23.897638,-20.590551,-21.417322,-21.692913,-19.48819,-20.590551,-14.251968,-16.181103,-13.700788,-17.834646,-18.110237,-13.149607,-16.181103,-16.181103,-18.110237,-17.007874
111,83,-11.771653,-7.913386,-16.732283,-18.937008,-9.84252,-11.771653,-20.03937,-12.322835,-7.6377954,-10.118111,-19.48819,-19.48819,-19.48819,-14.527559,-16.456694,-23.897638,-20.866142,-21.968504,-18.385826,-16.732283,-18.110237,-12.874016,-18.661417,-11.220472,-18.110237,-20.866142,-13.700788,-17.283464,-17.283464,-19.48819,-19.212599
112,83,-11.496063,-10.118111,-24.72441,-18.937008,-12.047244,-11.220472,-13.700788,-10.944881,-9.015748,-9.015748,-19.763779,-19.763779,-19.763779,-13.700788,-15.354331,-23.897638,-17.834646,-23.346457,-17.007874,-16.732283,-14.527559,-13.700788,-16.732283,-10.944881,-18.385826,-18.937008,-19.48819,-15.354331,-15.354331,-22.795275,-22.244095
113,83,-9.84252,-9.291339,-24.72441,-18.385826,-10.6692915,-9.291339,-17.834646,-8.188976,-6.2598424,-6.5354333,-15.629921,-15.629921,-15.629921,-12.874016,-15.07874,-23.346457,-19.212599,-22.519686,-16.732283,-18.661417,-16.732283,-11.220472,-14.527559,-10.393701,-17.007874,-14.803149,-20.31496,-15.629921,-15.629921,-21.968504,-21.692913
114,83,-8.188976,-8.188976,-16.732283,-16.181103,-10.393701,-7.913386,-15.629921,-6.2598424,-6.5354333,-6.8110237,-14.803149,-14.803149,-14.803149,-12.598425,-13.149607,-24.72441,-18.937008,-23.897638,-20.31496,-23.070866,-17.283464,-10.393701,-13.425197,-14.803149,-16.732283,-12.322835,-20.590551,-13.425197,-13.425197,-18.937008,-19.212599
115,83,-6.5354333,-6.2598424,-22.244095,-12.874016,-9.291339,-7.6377954,-13.9763775,-6.5354333,-5.984252,-5.984252,-13.700788,-13.700788,-13.700788,-13.9763775,-13.425197,-24.17323,-18.661417,-23.622047,-21.141733,-21.141733,-22.244095,-10.944881,-12.874016,-15.354331,-13.425197,-14.527559,-21.417322,-12.322835,-12.322835,-17.559055,-16.181103
116,83,-6.8110237,-5.4330707,-22.795275,-9.84252,-8.464567,-14.251968,-16.456694,-5.4330707,-9.015748,-3.503937,-14.251968,-14.251968,-14.251968,-11.496063,-13.700788,-22.519686,-20.31496,-21.968504,-24.17323,-20.866142,-18.661417,-10.944881,-12.874016,-14.803149,-12.322835,-15.905512,-19.763779,-12.874016,-12.874016,-16.732283,-15.629921
117,83,-5.984252,-5.7086616,-19.212599,-10.118111,-9.015748,-9.84252,-14.527559,-6.2598424,-5.984252,-8.464567,-13.149607,-13.149607,-13.149607,-12.598425,-14.803149,-19.763779,-18.661417,-22.795275,-24.72441,-23.346457,-19.48819,-12.047244,-17.007874,-15.629921,-12.047244,-16.732283,-19.763779,-13.149607,-13.149607,-15.629921,-16.456694
128,83,-7.086614,-7.086614,-13.149607,-11.771653,-8.740157,-7.6377954,-15.354331,-5.4330707,-4.6062994,-5.7086616,-21.692913,-21.692913,-21.692913,-12.874016,-15.905512,-21.141733,-15.354331,-24.448818,-17.283464,-18.937008,-18.937008,-13.149607,-16.181103,-18.110237,-14.527559,-17.007874,-19.212599,-16.456694,-16.456694,-22.244095,-18.110237
129,83,-5.984252,-7.913386,-17.283464,-10.393701,-10.393701,-12.047244,-15.07874,-5.984252,-7.3622046,-5.7086616,-23.070866,-23.070866,-23.070866,-11.496063,-13.425197,-19.48819,-14.251968,-21.692913,-16.732283,-18.385826,-17.834646,-15.629921,-16.732283,-16.456694,-11.220472,-18.937008,-19.212599,-18.110237,-18.110237,-19.212599,-20.590551
130,83,-3.7795277,-5.1574802,-8.740157,-7.6377954,-9.566929,-11.771653,-14.527559,-5.7086616,-5.984252,-7.3622046,-17.559055,-17.559055,-17.559055,-9.291339,-13.9763775,-15.905512,-13.425197,-23.346457,-15.07874,-18.661417,-19.48819,-16.732283,-17.559055,-16.732283,-11.771653,-20.31496,-20.590551,-21.141733,-21.141733,-20.866142,-20.03937
131,83,-7.6377954,-3.503937,-11.220472,-10.6692915,-9.566929,-8.740157,-14.527559,-9.84252,-5.984252,-9.291339,-18.937008,-18.937008,-18.937008,-13.700788,-11.496063,-15.905512,-15.354331,-23.346457,-17.834646,-19.212599,-16.181103,-12.598425,-19.48819,-15.905512,-10.118111,-19.212599,-16.732283,-22.244095,-22.244095,-22.519686,-21.692913
132,83,-9.015748,-5.1574802,-14.251968,-11.220472,-10.6692915,-11.496063,-15.07874,-8.464567,-8.188976,-11.771653,-16.456694,-16.456694,-16.456694,-11.771653,-16.181103,-16.181103,-15.629921,-15.07874,-20.590551,-21.968504,-20.03937,-16.732283,-17.007874,-18.110237,-12.874016,-19.212599,-18.937008,-22.795275,-22.795275,-19.212599,-20.866142
133,83,-9.566929,-8.188976,-11.220472,-11.496063,-13.700788,-13.700788,-13.700788,-9.566929,-9.015748,-5.7086616,-17.559055,-17.559055,-17.559055,-10.118111,-17.559055,-19.48819,-18.110237,-15.354331,-20.866142,-17.559055,-23.346457,-21.692913,-15.905512,-20.866142,-14.527559,-20.590551,-17.559055,-22.795275,-22.795275,-18.937008,-19.48819
134,83,-5.1574802,-8.464567,-9.84252,-12.598425,-13.425197,-10.118111,-14.803149,-10.6692915,-9.84252,-8.464567,-13.700788,-13.700788,-13.700788,-12.047244,-14.803149,-18.385826,-17.007874,-19.763779,-20.03937,-19.212599,-18.110237,-17.559055,-16.181103,-16.456694,-13.425197,-15.905512,-21.141733,-22.519686,-22.519686,-20.31496,-17.834646
135,83,-9.015748,-3.2283463,-11.496063,-20.31496,-11.771653,-10.944881,-14.251968,-13.700788,-5.984252,-12.598425,-12.598425,-12.598425,-12.598425,-15.354331,-18.661417,-21.417322,-16.732283,-20.866142,-19.212599,-18.385826,-20.03937,-18.661417,-16.732283,-18.110237,-12.047244,-15.629921,-24.448818,-20.03937,-20.03937,-19.212599,-19.48819
136,83,-10.944881,-9.015748,-11.496063,-23.070866,-15.354331,-11.220472,-13.149607,-10.118111,-12.598425,-8.464567,-13.700788,-13.700788,-13.700788,-16.732283,-21.692913,-18.937008,-17.559055,-18.110237,-23.070866,-20.590551,-16.732283,-15.629921,-17.559055,-18.385826,-14.527559,-17.007874,-20.590551,-21.968504,-21.968504,-21.141733,-21.692913
137,83,-8.740157,-13.425197,-13.9763775,-17.007874,-17.834646,-13.700788,-13.425197,-11.496063,-12.874016,-9.566929,-14.803149,-14.803149,-14.803149,-16.732283,-15.07874,-21.417322,-20.03937,-18.110237,-19.212599,-22.795275,-21.692913,-21.417322,-18.110237,-19.763779,-18.661417,-16.732283,-18.661417,-20.590551,-20.590551,-19.48819,-18.937008
138,83,-9.291339,-9.291339,-13.425197,-17.007874,-13.149607,-17.559055,-13.9763775,-10.6692915,-9.015748,-7.6377954,-16.181103,-16.181103,-16.181103,-14.527559,-20.590551,-21.417322,-19.212599,-21.141733,-23.622047,-21.692913,-23.897638,-23.070866,-19.763779,-22.244095,-14.251968,-18.661417,-18.385826,-18.661417,-18.661417,-21.141733,-20.31496
139,83,-7.3622046,-10.393701,-14.803149,-18.661417,-16.456694,-15.629921,-16.732283,-14.251968,-11.220472,-13.149607,-13.425197,-13.425197,-13.425197,-15.354331,-17.834646,-21.141733,-21.968504,-17.834646,-19.763779,-24.72441,-22.244095,-22.795275,-17.007874,-18.661417,-16.732283,-14.251968,-17.283464,-20.590551,-20.590551,-19.212599,-20.31496
140,83,-11.771653,-8.188976,-17.283464,-20.31496,-13.149607,-13.149607,-16.732283,-14.527559,-9.291339,-14.527559,-12.874016,-12.874016,-12.874016,-22.244095,-20.31496,-19.763779,-23.346457,-14.803149,-23.346457,-22.519686,-22.244095,-21.692913,-19.212599,-18.661417,-12.047244,-17.559055,-18.110237,-20.590551,-20.590551,-22.795275,-24.448818
141,83,-13.9763775,-13.9763775,-20.31496,-17.283464,-18.385826,-16.732283,-18.661417,-17.283464,-14.803149,-11.771653,-12.322835,-12.322835,-12.322835,-16.732283,-22.244095,-17.007874,-22.519686,-13.425197,-23.897638,-23.346457,-23.070866,-24.72441,-18.937008,-19.48819,-19.48819,-17.559055,-17.283464,-23.622047,-23.622047,-23.897638,-22.795275
142,83,-11.496063,-16.732283,-20.866142,-18.110237,-21.417322,-14.251968,-18.661417,-12.598425,-16.732283,-12.047244,-12.322835,-12.322835,-12.322835,-18.661417,-18.661417,-21.692913,-18.385826,-14.803149,-23.070866,-23.346457,-21.141733,-21.968504,-23.622047,-19.212599,-21.141733,-17.559055,-17.559055,-21.141733,-21.141733,-21.692913,-21.692913
143,83,-11.496063,-14.527559,-18.937008,-13.700788,-19.212599,-15.07874,-18.110237,-14.251968,-13.9763775,-14.803149,-11.496063,-11.496063,-11.496063,-20.590551,-20.31496,-22.519686,-17.283464,-13.9763775,-24.72441,-22.795275,-21.968504,-21.417322,-22.244095,-19.48819,-22.244095,-16.732283,-17.007874,-20.03937,-20.03937,-23.346457,-19.48819
144,83,-13.149607,-13.9763775,-17.007874,-14.803149,-16.732283,-15.07874,-18.937008,-11.771653,-13.425197,-12.322835,-11.220472,-11.220472,-11.220472,-20.866142,-18.661417,-17.007874,-16.456694,-13.700788,-24.17323,-23.622047,-22.244095,-21.968504,-21.968504,-18.661417,-18.937008,-18.110237,-17.559055,-22.244095,-22.244095,-21.692913,-18.110237
145,83,-11.220472,-15.07874,-13.9763775,-12.598425,-19.48819,-15.905512,-17.834646,-12.874016,-16.456694,-12.322835,-12.322835,-12.322835,-12.322835,-21.968504,-18.937008,-18.110237,-14.527559,-12.598425,-24.17323,-23.070866,-21.417322,-21.417322,-21.692913,-18.385826,-21.968504,-17.559055,-14.527559,-20.03937,-20.03937,-22.795275,-18.661417
146,83,-11.220472,-14.251968,-9.015748,-14.251968,-17.007874,-16.732283,-18.661417,-12.874016,-13.700788,-12.598425,-13.149607,-13.149607,-13.149607,-13.425197,-18.937008,-17.283464,-17.834646,-13.149607,-23.622047,-24.17323,-23.070866,-20.590551,-21.141733,-18.110237,-18.385826,-18.385826,-16.181103,-20.03937,-20.03937,-23.070866,-19.48819
147,83,-11.220472,-12.598425,-12.598425,-13.9763775,-18.385826,-15.354331,-18.937008,-12.322835,-14.803149,-12.322835,-11.771653,-11.771653,-11.771653,-17.559055,-19.212599,-13.700788,-17.283464,-15.07874,-23.070866,-23.622047,-22.795275,-22.795275,-21.692913,-18.385826,-19.48819,-18.661417,-16.181103,-22.244095,-22.244095,-23.346457,-18.110237
148,83,-10.6692915,-12.047244,-11.496063,-13.425197,-18.385826,-18.937008,-16.732283,-12.047244,-14.251968,-13.425197,-13.149607,-13.149607,-13.149607,-24.448818,-17.834646,-12.322835,-17.834646,-16.181103,-20.866142,-19.212599,-20.590551,-20.03937,-21.692913,-15.629921,-19.763779,-19.212599,-16.732283,-21.417322,-21.417322,-21.141733,-18.110237
149,83,-12.874016,-11.496063,-9.84252,-12.047244,-18.661417,-21.968504,-17.559055,-12.322835,-15.629921,-14.251968,-12.874016,-12.874016,-12.874016,-22.519686,-18.937008,-12.598425,-15.629921,-16.732283,-20.590551,-19.763779,-22.244095,-18.661417,-21.141733,-14.251968,-19.763779,-19.48819,-17.559055,-20.866142,-20.866142,-21.141733,-18.937008
150,83,-12.047244,-11.771653,-7.6377954,-10.6692915,-17.834646,-18.661417,-16.732283,-14.803149,-15.629921,-12.047244,-11.771653,-11.771653,-11.771653,-7.913386,-18.110237,-14.527559,-21.968504,-17.283464,-11.771653,-19.763779,-11.771653,-17.834646,-22.795275,-15.354331,-19.212599,-19.48819,-21.141733,-22.244095,-22.244095,-21.417322,-19.48819
151,83,-10.393701,-11.220472,-7.6377954,-10.6692915,-16.732283,-18.385826,-13.700788,-14.251968,-16.456694,-12.874016,-11.771653,-11.771653,-11.771653,-12.047244,-17.559055,-14.251968,-20.590551,-19.212599,-17.559055,-20.03937,-13.9763775,-15.905512,-21.417322,-15.905512,-20.31496,-17.834646,-22.519686,-21.141733,-21.141733,-21.141733,-16.181103
152,83,-9.291339,-9.84252,-9.291339,-10.6692915,-17.283464,-13.425197,-16.456694,-14.251968,-13.700788,-13.149607,-12.598425,-12.598425,-12.598425,-14.527559,-14.803149,-17.559055,-17.834646,-19.212599,-16.456694,-20.03937,-15.354331,-14.803149,-23.622047,-16.181103,-18.110237,-18.661417,-19.48819,-23.070866,-23.070866,-19.763779,-14.527559
153,83,-9.291339,-8.188976,-9.566929,-10.393701,-16.456694,-11.496063,-17.834646,-13.149607,-14.803149,-11.771653,-15.629921,-15.629921,-15.629921,-13.149607,-14.251968,-18.937008,-17.283464,-12.874016,-16.732283,-20.03937,-16.181103,-15.905512,-23.070866,-17.283464,-19.48819,-19.212599,-19.48819,-22.519686,-22.519686,-19.48819,-15.07874
154,83,-9.566929,-8.740157,-10.944881,-11.496063,-7.3622046,-13.9763775,-13.149607,-12.598425,-14.251968,-10.6692915,-20.590551,-20.590551,-20.590551,-14.803149,-18.110237,-22.519686,-13.9763775,-15.07874,-17.283464,-21.417322,-18.385826,-24.72441,-21.968504,-21.141733,-17.834646,-17.834646,-18.110237,-21.417322,-21.417322,-20.03937,-15.07874
155,83,-8.740157,-8.188976,-6.5354333,-12.322835,-7.086614,-13.9763775,-12.322835,-14.251968,-11.771653,-11.220472,-18.937008,-18.937008,-18.937008,-15.905512,-16.456694,-18.937008,-17.283464,-16.456694,-18.937008,-20.31496,-17.283464,-18.385826,-19.763779,-21.141733,-14.803149,-17.007874,-17.007874,-20.866142,-20.866142,-16.456694,-16.456694
156,83,-7.913386,-8.464567,-6.8110237,-10.944881,-18.385826,-16.732283,-13.9763775,-16.181103,-11.771653,-15.629921,-20.866142,-20.866142,-20.866142,-16.181103,-15.905512,-17.283464,-10.944881,-16.456694,-19.763779,-22.795275,-16.181103,-19.48819,-15.629921,-21.141733,-13.9763775,-18.110237,-22.519686,-22.519686,-22.519686,-17.283464,-16.181103
