Latitude,Temperature,Altitude
126,-20.31496,8
127,-22.519686,8
128,-20.31496,8
129,-21.692913,8
130,-20.03937,8
131,-20.590551,8
132,-18.385826,8
133,-18.110237,8
134,-18.937008,8
135,-20.866142,8
136,-24.17323,8
141,-22.519686,8
142,-22.244095,8
143,-20.31496,8
144,-18.937008,8
145,-17.834646,8
146,-17.559055,8
147,-17.834646,8
148,-22.244095,8
149,-20.866142,8
150,-14.803149,8
151,-13.700788,8
152,-13.9763775,8
153,-13.9763775,8
154,-20.03937,8
155,-20.866142,8
156,-20.590551,8
158,-18.110237,8
159,-14.803149,8
160,-16.456694,8
161,-22.519686,8
162,-22.244095,8
163,-15.354331,8
164,-17.007874,8
165,-17.834646,8
166,-20.866142,8
167,-18.661417,8
-124,-7.913386,8
-123,-9.291339,8
-122,-10.6692915,8
-119,-7.913386,8
83,-20.866142,9
84,-22.244095,9
85,-21.417322,9
86,-20.590551,9
87,-22.519686,9
88,-21.968504,9
89,-19.763779,9
90,-17.559055,9
93,-20.31496,9
94,-21.692913,9
95,-16.456694,9
96,-19.212599,9
100,-23.070866,9
101,-23.897638,9
102,-23.897638,9
108,-24.17323,9
109,-18.661417,9
110,-20.31496,9
112,-17.834646,9
113,-17.283464,9
114,-17.007874,9
115,-20.866142,9
116,-23.070866,9
117,-22.795275,9
119,-24.72441,9
121,-22.519686,9
125,-24.17323,9
146,-23.346457,9
147,-22.519686,9
148,-22.244095,9
149,-24.17323,9
150,-23.070866,9
151,-22.519686,9
152,-20.590551,9
153,-22.244095,9
154,-23.346457,9
155,-21.968504,9
156,-20.03937,9
158,-21.141733,9
159,-19.212599,9
160,-20.31496,9
161,-21.417322,9
162,-16.456694,9
163,-18.661417,9
-161,-7.3622046,9
-158,-6.2598424,9
-157,-5.984252,9
-135,-2.4015749,9
-134,-4.6062994,9
-133,-5.1574802,9
-132,-7.913386,9
-131,-8.740157,9
-130,-2.1259842,9
-128,-8.740157,9
-127,-8.188976,9
-126,-8.188976,9
-124,-4.88189,9
-123,-8.740157,9
-122,-9.015748,9
-121,-8.740157,9
-120,-7.6377954,9
-119,-8.740157,9
-88,-9.015748,9
-87,-11.771653,9
-86,-10.393701,9
86,-23.346457,10
87,-23.622047,10
88,-20.03937,10
89,-20.03937,10
91,-23.346457,10
92,-18.661417,10
93,-16.181103,10
94,-20.03937,10
95,-20.03937,10
96,-17.559055,10
97,-19.48819,10
98,-21.417322,10
99,-21.141733,10
101,-19.212599,10
102,-17.834646,10
103,-15.905512,10
104,-15.07874,10
105,-16.456694,10
106,-17.559055,10
114,-17.007874,10
115,-23.346457,10
116,-19.48819,10
117,-19.212599,10
118,-21.417322,10
119,-21.692913,10
124,-24.17323,10
150,-24.72441,10
151,-23.622047,10
152,-23.622047,10
153,-24.448818,10
156,-22.244095,10
157,-19.212599,10
158,-23.346457,10
159,-17.007874,10
160,-15.629921,10
-169,-8.740157,10
-168,-7.086614,10
-167,-4.055118,10
-166,-9.84252,10
-165,-4.88189,10
-164,-13.9763775,10
-163,-11.496063,10
-162,-10.944881,10
-161,-2.1259842,10
-160,-4.055118,10
-159,-6.8110237,10
-158,-6.8110237,10
-157,-7.6377954,10
-156,-7.6377954,10
-155,-7.086614,10
-104,-5.984252,10
-103,-7.6377954,10
-87,-13.149607,10
-86,-10.944881,10
67,-13.149607,11
68,-18.661417,11
69,-19.48819,11
70,-15.07874,11
74,-12.047244,11
75,-14.251968,11
76,-12.598425,11
77,-12.598425,11
78,-12.598425,11
79,-13.149607,11
80,-22.519686,11
81,-21.141733,11
83,-21.968504,11
84,-23.070866,11
86,-13.9763775,11
87,-20.31496,11
88,-18.110237,11
89,-17.007874,11
90,-16.181103,11
91,-13.425197,11
92,-14.251968,11
93,-18.110237,11
94,-16.732283,11
95,-17.283464,11
96,-19.48819,11
97,-20.590551,11
98,-16.456694,11
99,-20.866142,11
100,-24.448818,11
101,-21.141733,11
102,-19.763779,11
103,-18.661417,11
104,-17.283464,11
107,-13.425197,11
108,-15.629921,11
109,-16.456694,11
110,-15.905512,11
111,-17.283464,11
152,-21.417322,11
153,-21.692913,11
155,-23.897638,11
156,-22.795275,11
157,-20.03937,11
158,-17.834646,11
160,-15.905512,11
-169,-3.503937,11
-168,-5.984252,11
-167,-6.8110237,11
-166,-2.952756,11
-165,-3.503937,11
-164,-6.5354333,11
-163,-6.8110237,11
